id-señal,timestamp-lectura,valor-lectura
humidity,1421760635498,56
precipitation,1354853456219,66
humidity,1334412292494,53
precipitation,1336254921291,9
pressure,1343837736390,80
pressure,1378724787542,86
pressure,1309136209298,50
precipitation,1365460637811,62
precipitation,1322311875242,9
humidity,1360691116284,51
humidity,1325878252974,5
precipitation,1389298455934,63
precipitation,1363381002609,85
pressure,1327268512589,11
precipitation,1421064894560,76
humidity,1285432009118,29
precipitation,1310200425039,17
precipitation,1372624406791,34
precipitation,1273734446490,92
precipitation,1436088696370,14
pressure,1424191269594,44
pressure,1377669800089,48
pressure,1382973103125,43
precipitation,1417337026853,55
pressure,1381408041018,62
precipitation,1378166464936,96
precipitation,1432400440589,31
temperature,1370219054613,29
precipitation,1455853897872,93
temperature,1364815363591,83
pressure,1298910426109,33
pressure,1298377738068,80
precipitation,1283062971993,77
pressure,1389372043710,59
precipitation,1403223743406,44
temperature,1285888843632,54
precipitation,1270450919207,97
humidity,1453575114330,96
humidity,1276248937588,95
pressure,1278043669965,8
precipitation,1332516802688,27
precipitation,1403174600391,72
precipitation,1373049851129,76
precipitation,1409841108038,60
precipitation,1365939641649,93
precipitation,1451751463214,90
pressure,1455224450902,12
temperature,1371600640371,77
pressure,1305229885142,89
precipitation,1401129095205,60
precipitation,1425055426193,14
precipitation,1333870366128,80
humidity,1409910950885,31
pressure,1270678677614,13
precipitation,1343262502826,19
precipitation,1298695970500,14
humidity,1430134210945,6
precipitation,1442480346457,19
temperature,1423844184380,79
precipitation,1407002276201,54
precipitation,1290749347767,84
temperature,1447629301512,35
precipitation,1399388736287,44
humidity,1305337486258,72
precipitation,1440868591417,78
pressure,1419945176938,57
precipitation,1271405559331,97
temperature,1338616102050,10
precipitation,1389653386707,65
precipitation,1463935652972,69
pressure,1275804244433,67
temperature,1430550663834,57
temperature,1427557109278,23
precipitation,1342206656434,49
pressure,1264791998338,5
precipitation,1325458740500,13
precipitation,1430482639233,79
precipitation,1434848076271,95
precipitation,1289189173023,32
precipitation,1303750011011,96
temperature,1410362140383,89
temperature,1347020106030,96
temperature,1283627427194,67
precipitation,1282254542257,29
precipitation,1361672254395,62
precipitation,1275406890176,61
pressure,1281402993041,57
humidity,1366683590970,26
precipitation,1462685668087,48
humidity,1418207486605,94
precipitation,1396110836392,56
humidity,1372344300457,52
precipitation,1336291737556,96
humidity,1402409338934,4
precipitation,1359431007323,42
precipitation,1347660892457,63
humidity,1328448268516,71
precipitation,1356317173739,2
precipitation,1281076148452,93
pressure,1303233323205,43
pressure,1338778987953,76
precipitation,1437705021529,26
temperature,1459733716334,9
precipitation,1329264975917,25
precipitation,1364200671902,100
temperature,1389524243672,37
precipitation,1453227067889,13
pressure,1272660524486,55
precipitation,1401358642240,13
precipitation,1290931435226,77
precipitation,1298431041010,100
temperature,1427790171674,68
precipitation,1403775583428,81
pressure,1448298515677,76
precipitation,1393257493246,60
precipitation,1307341667938,99
precipitation,1351860288237,22
precipitation,1393831130372,72
precipitation,1347186371692,21
temperature,1321012704731,9
precipitation,1298281548786,19
temperature,1299764356869,73
precipitation,1323208847919,63
temperature,1270074134613,11
precipitation,1313492210723,62
precipitation,1315995657128,50
precipitation,1433836203836,97
humidity,1306180477668,93
precipitation,1293011534934,9
temperature,1264263159441,60
precipitation,1282919907191,54
temperature,1408868130517,87
humidity,1269885892862,18
humidity,1357702054418,77
pressure,1408515861997,11
temperature,1381609931805,37
precipitation,1305559223380,97
temperature,1405015020268,69
temperature,1337630201661,73
pressure,1298502960850,51
precipitation,1414321629501,88
precipitation,1354675989037,52
pressure,1345721524451,2
precipitation,1294354412556,82
humidity,1371401902263,17
precipitation,1269579874316,21
precipitation,1404514750042,65
precipitation,1463986701731,13
pressure,1373209390014,12
precipitation,1307826734282,15
pressure,1376611074634,90
precipitation,1292746317751,70
precipitation,1429989885448,27
humidity,1280153705536,56
precipitation,1266897832804,88
precipitation,1358937404627,91
precipitation,1304900341830,26
pressure,1362355450537,71
temperature,1354655171808,89
precipitation,1454803217074,10
temperature,1273567006630,77
precipitation,1335607943243,74
humidity,1405189287789,76
precipitation,1354420938147,29
pressure,1315827091078,70
precipitation,1422967344722,52
precipitation,1286797112477,60
humidity,1277042692397,55
temperature,1454975787902,42
precipitation,1373639810169,97
precipitation,1312015148125,6
pressure,1345540887104,64
pressure,1301630380619,2
precipitation,1346427330216,10
humidity,1407876067596,39
pressure,1327171426522,84
precipitation,1314626023313,57
pressure,1425685333357,8
precipitation,1456507865187,59
temperature,1315175157490,38
precipitation,1294642819876,94
pressure,1291173534726,70
temperature,1351898028816,96
pressure,1378267690996,15
precipitation,1330666324865,5
precipitation,1438149644310,54
humidity,1463680489538,62
pressure,1382267877900,10
pressure,1349692692796,7
humidity,1271079323600,56
precipitation,1287081288397,79
pressure,1421651793537,44
precipitation,1328323789270,28
precipitation,1278516075322,35
precipitation,1428146577967,98
temperature,1268124403149,41
precipitation,1301911731656,72
precipitation,1272256389923,41
humidity,1306992191628,91
pressure,1428562383747,73
pressure,1398766585730,42
precipitation,1409603345190,20
pressure,1384173790587,78
pressure,1456694286068,58
precipitation,1347637489372,67
temperature,1453472218776,30
precipitation,1351416177827,38
temperature,1326001521704,91
pressure,1404615842358,67
precipitation,1380135701668,34
temperature,1385123837466,76
humidity,1282870350102,70
humidity,1457081582027,28
pressure,1378455007253,49
precipitation,1279227691647,38
precipitation,1295310886513,24
temperature,1279612071849,100
pressure,1384048686151,62
pressure,1377075588560,93
temperature,1437991663029,99
pressure,1349672285829,26
humidity,1433232465262,72
precipitation,1316315054656,8
pressure,1385564689472,65
pressure,1418182575824,22
precipitation,1275621016544,19
precipitation,1373084241240,1
pressure,1404170512662,48
pressure,1274912133203,56
precipitation,1283775850019,91
humidity,1400174184916,73
humidity,1398478399318,29
humidity,1272203516363,44
precipitation,1269883474194,51
pressure,1340883833389,99
pressure,1380495005184,11
pressure,1318497713759,74
humidity,1266089441012,22
pressure,1459325723830,7
humidity,1408784158220,54
temperature,1270308073139,94
precipitation,1405476240155,83
pressure,1292853019391,32
humidity,1397466455663,60
temperature,1337323687238,16
