id-señal,timestamp-lectura,valor-lectura
precipitation,1399354662519,51
pressure,1423123160239,48
precipitation,1270650379298,30
temperature,1395819999977,77
pressure,1269124136346,38
precipitation,1420476008833,8
temperature,1309002797484,47
pressure,1281241098029,58
precipitation,1458143043084,65
precipitation,1278833542657,20
pressure,1446387048082,91
humidity,1391569143604,14
pressure,1390056323402,67
precipitation,1408090707463,83
pressure,1431946677709,79
temperature,1306700291176,70
precipitation,1430487368551,4
precipitation,1426343420064,53
humidity,1451202980813,7
precipitation,1278014933898,98
pressure,1327278034446,54
pressure,1426269940886,31
precipitation,1277673392510,77
temperature,1357439072084,62
temperature,1320063449870,36
precipitation,1288868282818,81
temperature,1309052694605,54
humidity,1312167667340,52
precipitation,1448196749631,66
precipitation,1452626860384,76
precipitation,1346188870038,75
precipitation,1398015037472,73
precipitation,1337605887165,66
pressure,1331664828612,57
temperature,1366346339448,99
precipitation,1291137586393,64
precipitation,1409042168282,33
pressure,1351092336224,30
pressure,1277105267729,77
humidity,1275406933520,75
precipitation,1381855723074,97
pressure,1424211532723,17
precipitation,1311587353883,15
precipitation,1265507222655,75
precipitation,1276309332877,86
precipitation,1268072808795,60
humidity,1458726131168,35
precipitation,1443738443960,6
precipitation,1418857000912,14
pressure,1290559632400,72
precipitation,1431274209176,3
temperature,1434376278138,10
pressure,1298456639982,8
precipitation,1414612879073,8
pressure,1317487629619,65
humidity,1454847012140,29
precipitation,1440717272755,16
precipitation,1375447385287,6
pressure,1348400727797,6
precipitation,1412217748962,63
precipitation,1317072849744,40
precipitation,1375758296344,32
pressure,1413654562224,76
humidity,1413692989753,47
pressure,1398577044155,3
precipitation,1412439912699,74
precipitation,1355871858020,93
precipitation,1280076265780,81
humidity,1397863079022,68
pressure,1381491939434,42
humidity,1380953529977,50
precipitation,1457833478332,75
precipitation,1367961436780,64
temperature,1266118235068,61
temperature,1405540302615,16
humidity,1289708648107,30
precipitation,1423296497505,22
precipitation,1380104798478,42
pressure,1291359076741,91
pressure,1335344692801,71
temperature,1300915874390,38
pressure,1306917930309,21
precipitation,1296277017389,55
precipitation,1454245020850,43
temperature,1360370658240,90
pressure,1303439073985,23
humidity,1421552737026,35
precipitation,1442273174299,84
humidity,1322163823587,39
precipitation,1419688598433,71
pressure,1356155361565,58
pressure,1295218935442,66
precipitation,1441982706291,49
precipitation,1406856108477,31
humidity,1452801565710,67
pressure,1348117261995,9
precipitation,1326346309718,10
precipitation,1460411175669,97
humidity,1278587572587,9
precipitation,1281136425145,87
precipitation,1350218353492,58
precipitation,1355832827226,44
humidity,1379820774698,18
pressure,1419487671922,93
humidity,1286481162537,78
humidity,1389641145179,60
precipitation,1394645627264,70
pressure,1448234945303,20
temperature,1353779031842,15
precipitation,1324910794392,61
humidity,1426916378357,70
humidity,1316249982795,28
precipitation,1365620580881,29
precipitation,1326064909811,42
humidity,1357371141425,54
pressure,1462809221208,58
precipitation,1391881917370,4
precipitation,1324388536633,99
precipitation,1448941508174,24
temperature,1392270678504,14
humidity,1435790183952,91
precipitation,1350376542738,81
precipitation,1433275763485,59
precipitation,1322446051793,41
precipitation,1370257069821,94
pressure,1416757180697,5
pressure,1357522576707,83
precipitation,1374142764670,79
pressure,1297109091352,12
temperature,1458718018552,40
precipitation,1455530027037,82
precipitation,1290874275894,100
pressure,1295262007051,17
temperature,1318203695814,47
pressure,1274128750218,4
precipitation,1351983206579,2
precipitation,1446584147205,96
precipitation,1420469880155,80
precipitation,1439592506768,57
precipitation,1440608006976,6
precipitation,1414690892853,65
pressure,1286528758576,72
precipitation,1454890437681,13
precipitation,1267847682347,54
pressure,1336757232608,60
precipitation,1425045015040,8
pressure,1266571209821,38
humidity,1320187284925,76
precipitation,1310705145979,33
pressure,1270019131827,22
precipitation,1287891636239,3
precipitation,1325458320784,83
temperature,1281167779175,43
precipitation,1359401311115,84
temperature,1457354634382,88
precipitation,1349834264212,48
precipitation,1440303876923,77
pressure,1319370276244,98
precipitation,1284191484173,93
precipitation,1383201902225,53
temperature,1381708366833,3
pressure,1266032399724,41
precipitation,1372801201487,3
precipitation,1369717287245,21
temperature,1449188088232,3
precipitation,1378701439346,96
precipitation,1298115431506,58
precipitation,1370219778687,67
precipitation,1449386545136,35
precipitation,1418085204166,34
pressure,1279007990290,84
precipitation,1340189546099,58
precipitation,1299959527683,35
temperature,1382725502716,1
precipitation,1382027169297,33
pressure,1298647364913,1
precipitation,1378610273788,95
precipitation,1408914429555,36
precipitation,1295198148372,38
precipitation,1293583550623,95
temperature,1354622114191,76
humidity,1427410090427,56
precipitation,1293401994996,33
humidity,1379445504769,75
precipitation,1303465525152,53
temperature,1283018013615,67
pressure,1353385114900,81
precipitation,1291777949713,42
precipitation,1362743936830,62
precipitation,1295867311934,7
temperature,1380765140028,97
pressure,1325372804655,65
precipitation,1337280990384,81
pressure,1317708275733,67
pressure,1377926816268,28
precipitation,1383701686008,42
precipitation,1303279079180,93
humidity,1316161981516,67
precipitation,1417274017496,10
precipitation,1385126774574,49
pressure,1460325673240,6
humidity,1379235909151,90
pressure,1273087309763,38
pressure,1374732058967,73
humidity,1415442644669,3
precipitation,1267129430783,93
pressure,1451757953724,32
humidity,1365973225767,69
precipitation,1329467374052,97
precipitation,1414419905431,66
precipitation,1364150156667,86
precipitation,1325344203458,66
precipitation,1352029677499,16
pressure,1387196299862,21
pressure,1291700722596,60
temperature,1326753386456,7
humidity,1287503605291,28
precipitation,1272855327317,26
precipitation,1364900464412,42
precipitation,1264750432843,79
humidity,1359017969023,48
precipitation,1281513997939,12
temperature,1267495395599,14
precipitation,1349220416496,17
pressure,1352736944400,3
pressure,1303053313338,91
precipitation,1457601836963,98
precipitation,1264142728780,4
precipitation,1418910852619,22
precipitation,1398987748240,4
pressure,1377055630718,26
precipitation,1376116047372,29
temperature,1290218099804,33
precipitation,1300842151454,59
humidity,1312189815894,88
humidity,1438932783724,9
precipitation,1308916001834,2
pressure,1304515791105,89
precipitation,1307774343106,31
precipitation,1426482082146,31
temperature,1378120951971,61
precipitation,1324210376130,95
precipitation,1380364679193,52
pressure,1402566134024,78
precipitation,1402220499764,60
temperature,1285444761166,47
precipitation,1293982957001,19
pressure,1385565327864,62
precipitation,1384223335463,5
precipitation,1420010748306,3
temperature,1382109521516,87
