id-señal,timestamp-lectura,valor-lectura
precipitation,1464023395923,56
pressure,1463985313246,55
temperature,1464033513595,48
pressure,1464040741719,91
precipitation,1463963887396,85
precipitation,1463965551820,55
precipitation,1464021259678,93
precipitation,1464000575445,47
humidity,1463981359855,72
precipitation,1463980658853,46
precipitation,1464038383705,56
precipitation,1463974911550,95
precipitation,1464001650350,66
precipitation,1463977210803,24
precipitation,1464026248607,61
precipitation,1463981121691,99
humidity,1463975532599,91
precipitation,1464032627176,48
precipitation,1463977656681,96
humidity,1463956760142,76
temperature,1464008562240,83
pressure,1463955514573,80
precipitation,1464010004031,50
precipitation,1463985910035,95
pressure,1464002129531,11
precipitation,1463964208821,68
humidity,1463955703297,70
precipitation,1463958512960,99
pressure,1464002898337,95
precipitation,1463995927346,75
pressure,1464035956542,48
precipitation,1464037770300,97
precipitation,1463968839827,62
precipitation,1463971060467,77
precipitation,1463957750621,24
humidity,1464032530935,39
precipitation,1463989100798,35
precipitation,1464025977065,75
precipitation,1464012514391,89
precipitation,1463956847456,42
temperature,1463997506977,22
precipitation,1463961243746,61
precipitation,1463971160750,64
temperature,1463975651448,47
pressure,1464018437441,40
humidity,1464007151465,82
humidity,1464027758110,20
pressure,1463971212881,15
pressure,1464012714835,44
precipitation,1463998806327,82
pressure,1463970224276,45
precipitation,1463974548061,35
precipitation,1464031650056,38
precipitation,1464022001258,75
precipitation,1463989527976,31
temperature,1463988184854,71
humidity,1464025626384,13
pressure,1463977786287,41
pressure,1463954456889,22
temperature,1463980493082,25
pressure,1463956877990,13
precipitation,1463995808229,41
temperature,1464022634876,40
temperature,1463968570037,45
precipitation,1464037744309,24
precipitation,1463991421622,42
pressure,1464027524532,70
temperature,1463987865591,92
precipitation,1464007271623,62
humidity,1463997017865,46
temperature,1464038476494,54
precipitation,1464028386059,34
precipitation,1464027810848,80
precipitation,1463963983143,73
precipitation,1464007646657,80
pressure,1463994304925,23
precipitation,1463956177128,98
precipitation,1464037796124,14
precipitation,1463964563328,24
humidity,1464033303874,31
pressure,1463997863142,96
temperature,1464005804757,87
temperature,1463999580713,53
precipitation,1463956235453,90
temperature,1464013436620,92
pressure,1464011477455,21
precipitation,1463999103975,34
precipitation,1463976337153,92
precipitation,1463988044430,28
pressure,1463961176488,81
precipitation,1464014756108,86
pressure,1464040150027,47
humidity,1463992116489,15
pressure,1464020613302,60
precipitation,1463969538867,80
precipitation,1464037224438,71
precipitation,1464020899995,100
humidity,1463975581982,94
temperature,1463980755887,57
precipitation,1464020063995,38
humidity,1463987350296,23
precipitation,1463983135461,81
precipitation,1464039345750,86
precipitation,1463991538273,44
precipitation,1463963236130,93
pressure,1463955920351,1
precipitation,1464022907682,44
pressure,1464012824123,33
pressure,1464032941729,72
precipitation,1464022574356,28
precipitation,1464014173658,41
precipitation,1463991390950,57
precipitation,1464007352024,64
humidity,1464000437951,12
humidity,1464002092039,44
precipitation,1464011864948,48
humidity,1464029980234,93
precipitation,1464015631675,79
pressure,1464035870706,57
precipitation,1464005653930,12
precipitation,1463969293383,40
pressure,1463965578259,72
precipitation,1464012473221,99
pressure,1464025025739,97
pressure,1464030445795,1
precipitation,1463987971562,29
precipitation,1464017896719,48
pressure,1464002877611,19
pressure,1464009180735,75
precipitation,1464035218110,62
pressure,1464019055994,49
precipitation,1464018918577,92
precipitation,1464036295241,71
precipitation,1463971722790,75
precipitation,1463979804169,67
precipitation,1463955714704,4
precipitation,1464025221847,13
pressure,1464001059428,52
temperature,1464006751646,61
precipitation,1463993212036,91
humidity,1464023874230,23
pressure,1464003097713,53
pressure,1464017872430,23
pressure,1463989227623,44
temperature,1463968972304,20
humidity,1464000269156,10
precipitation,1464005279671,11
humidity,1463976300483,63
precipitation,1464024426364,74
precipitation,1463992794540,83
precipitation,1463992979487,59
pressure,1464027384504,99
humidity,1464034535367,22
precipitation,1464006504291,59
pressure,1463974164667,26
humidity,1463988439700,25
pressure,1464003162102,97
precipitation,1463962516419,21
precipitation,1463962720416,95
precipitation,1464039408956,18
precipitation,1464002234297,39
pressure,1463964077750,63
pressure,1464006448446,7
pressure,1464013702809,1
temperature,1463983541166,4
precipitation,1463989762731,11
precipitation,1464003974281,30
pressure,1463981039338,84
temperature,1464030130685,69
precipitation,1464004896840,46
temperature,1464002408522,15
precipitation,1463972925893,83
humidity,1464024410529,53
humidity,1464030970468,98
precipitation,1463964073437,26
precipitation,1463990843067,31
precipitation,1464021073576,3
pressure,1463974587771,65
precipitation,1464006166907,44
precipitation,1463976505560,63
precipitation,1463964376419,2
humidity,1464011223675,28
humidity,1463969530819,26
precipitation,1463970150824,32
precipitation,1464020749055,10
precipitation,1463977297991,89
pressure,1463967985233,22
humidity,1464018323241,58
precipitation,1464007931819,22
precipitation,1464032209521,4
precipitation,1464006991842,9
humidity,1463974753279,78
temperature,1463997887028,27
temperature,1463958377018,72
precipitation,1463986559560,89
temperature,1463957355769,92
precipitation,1463979224196,99
precipitation,1464031185323,86
precipitation,1463991637690,11
humidity,1463964227495,84
temperature,1464015983909,58
precipitation,1464024309263,80
precipitation,1464017066383,2
precipitation,1464008133700,97
precipitation,1463958930077,45
precipitation,1463971954812,70
humidity,1464013455783,90
precipitation,1463984957093,68
precipitation,1464016251044,90
pressure,1463994102640,34
precipitation,1464014466057,27
precipitation,1463971898273,48
humidity,1463975804931,98
precipitation,1464018831865,54
temperature,1463957565142,86
precipitation,1463967134403,100
precipitation,1463970708078,22
temperature,1463972907307,72
temperature,1464001899145,37
pressure,1464031624941,93
precipitation,1463982062386,48
precipitation,1463985463205,43
pressure,1464030358100,31
pressure,1463995710525,53
humidity,1463972840167,61
precipitation,1463984349442,31
precipitation,1464020872478,93
pressure,1463956451856,21
precipitation,1463980814546,59
precipitation,1463997081903,93
pressure,1463972896561,82
precipitation,1464035254788,71
pressure,1464029465632,20
pressure,1463992783283,68
precipitation,1464035564467,82
pressure,1463985677285,60
precipitation,1464003673997,24
precipitation,1463976373922,65
temperature,1464013934102,31
precipitation,1464000178001,58
precipitation,1463990059362,50
precipitation,1463969771901,80
precipitation,1463980325667,15
pressure,1464012241346,4
precipitation,1464007968948,9
pressure,1464011888608,88
temperature,1463966592667,62
temperature,1464036943667,17
temperature,1463987579787,79
pressure,1463989061262,42
precipitation,1464006955359,43
pressure,1464025042139,44
precipitation,1464008290145,30
precipitation,1463994294190,33
precipitation,1463964512237,82
precipitation,1464010659320,28
humidity,1463955196496,47
temperature,1464036477921,4
precipitation,1464003726546,65
humidity,1463966896450,43
pressure,1463989832640,81
precipitation,1463998600539,36
precipitation,1464036750338,32
humidity,1464036267359,73
temperature,1463987891755,44
precipitation,1463971374077,96
pressure,1463999532414,20
precipitation,1463967803100,29
humidity,1463956509241,18
temperature,1463975868816,5
precipitation,1463988962871,96
precipitation,1463968471205,54
precipitation,1463966741012,13
humidity,1464022857572,45
precipitation,1463959674577,26
pressure,1464018322152,21
temperature,1463987589922,14
precipitation,1464028133889,1
precipitation,1463993638821,95
precipitation,1464037462147,86
precipitation,1464000962103,74
precipitation,1463954760046,66
precipitation,1463999350465,73
precipitation,1463966005736,19
humidity,1464027861820,73
precipitation,1464003736186,85
precipitation,1463988662593,69
pressure,1463971487914,11
pressure,1463988540747,1
precipitation,1463968787245,82
precipitation,1463983928129,27
pressure,1464030170080,48
humidity,1464001736582,15
temperature,1464012362395,30
humidity,1463962073141,16
precipitation,1463989385316,72
pressure,1463968500804,91
precipitation,1463967489772,15
pressure,1464006996232,83
precipitation,1464019260529,49
humidity,1464020418809,8
temperature,1463981816787,83
pressure,1463987628923,60
temperature,1464025255122,87
pressure,1463967742918,14
humidity,1463964721976,37
precipitation,1463972068742,9
precipitation,1463975879740,94
temperature,1463998017945,58
temperature,1463974687528,50
temperature,1463990216649,86
pressure,1463970294320,65
pressure,1463996516130,51
temperature,1463974510522,78
pressure,1463991806743,49
precipitation,1463984590021,59
humidity,1463962351993,1
pressure,1463974080095,74
precipitation,1464017602976,76
precipitation,1463956384490,89
humidity,1463978006506,20
temperature,1464019651967,22
precipitation,1464032167538,49
temperature,1463967959781,23
precipitation,1463997462772,13
temperature,1464026258576,86
temperature,1463978213509,24
pressure,1464036254171,76
temperature,1464031839448,65
precipitation,1463975300339,57
precipitation,1463997485079,71
precipitation,1463992661130,45
temperature,1463989979513,88
pressure,1463969922050,40
precipitation,1464001939547,62
precipitation,1463989392670,71
pressure,1464005790249,51
precipitation,1463976605083,16
precipitation,1463964226238,58
humidity,1463982106958,85
temperature,1463992198626,82
pressure,1464037515605,39
pressure,1463990760875,38
precipitation,1463975963348,4
humidity,1464018718311,79
precipitation,1463957632827,89
pressure,1463961602862,9
precipitation,1464020180102,3
humidity,1464005875911,62
precipitation,1463958581876,25
