id-senial,timestamp-lectura,valor-lectura
pressure,1463961913799,70
humidity,1464035145489,9
precipitation,1463962076467,61
pressure,1463994132403,88
temperature,1463960119055,85
precipitation,1464030271468,47
precipitation,1463963299279,2
precipitation,1463968737290,27
precipitation,1464035211173,33
pressure,1463997246527,12
pressure,1464028376007,42
precipitation,1464002168580,41
pressure,1463966170892,18
precipitation,1463972153822,86
temperature,1464006063521,7
temperature,1463972841172,23
precipitation,1463998220205,83
pressure,1463970484072,5
